seller_id,item_id,item_name,category,market_price,expected_units_sold,expected_revenue
S149,I650036,H&m Cotton Shirt,Apparel,140263.25,4999.0,7.0117598675E8
S149,I834643,Zara Maxi Dress,Apparel,20654.83,4996.0,1.0319153068E8
S149,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S149,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S149,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S149,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S149,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
S149,I431070,Samsung 55” Smart Tv,Home Appliances,144301.53,4991.0,7.2020893623E8
S149,I213219,Dyson Vacuum Cleaner,Home Appliances,80201.7,4991.0,4.002866847E8
S149,I497985,Philips Air Fryer,Home Appliances,138513.8,4991.0,6.913223758E8
S105,I834643,Zara Maxi Dress,Apparel,20654.83,4996.0,1.0319153068E8
S105,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S105,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S105,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S105,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S105,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
S105,I431070,Samsung 55” Smart Tv,Home Appliances,144301.53,4991.0,7.2020893623E8
S105,I213219,Dyson Vacuum Cleaner,Home Appliances,80201.7,4991.0,4.002866847E8
S105,I497985,Philips Air Fryer,Home Appliances,138513.8,4991.0,6.913223758E8
S148,I650036,H&m Cotton Shirt,Apparel,140263.25,4999.0,7.0117598675E8
S148,I834643,Zara Maxi Dress,Apparel,20654.83,4996.0,1.0319153068E8
S148,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S148,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S148,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S148,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S148,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
S148,I431070,Samsung 55” Smart Tv,Home Appliances,144301.53,4991.0,7.2020893623E8
S148,I213219,Dyson Vacuum Cleaner,Home Appliances,80201.7,4991.0,4.002866847E8
S148,I497985,Philips Air Fryer,Home Appliances,138513.8,4991.0,6.913223758E8
S102,I650036,H&m Cotton Shirt,Apparel,140263.25,4999.0,7.0117598675E8
S102,I834643,Zara Maxi Dress,Apparel,20654.83,4996.0,1.0319153068E8
S102,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S102,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S102,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S102,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S102,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
S102,I431070,Samsung 55” Smart Tv,Home Appliances,144301.53,4991.0,7.2020893623E8
S102,I213219,Dyson Vacuum Cleaner,Home Appliances,80201.7,4991.0,4.002866847E8
S102,I497985,Philips Air Fryer,Home Appliances,138513.8,4991.0,6.913223758E8
S106,I650036,H&m Cotton Shirt,Apparel,140263.25,4999.0,7.0117598675E8
S106,I834643,Zara Maxi Dress,Apparel,20654.83,4996.0,1.0319153068E8
S106,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S106,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S106,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S106,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S106,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
S106,I431070,Samsung 55” Smart Tv,Home Appliances,144301.53,4991.0,7.2020893623E8
S106,I213219,Dyson Vacuum Cleaner,Home Appliances,80201.7,4991.0,4.002866847E8
S106,I497985,Philips Air Fryer,Home Appliances,138513.8,4991.0,6.913223758E8
S104,I650036,H&m Cotton Shirt,Apparel,140263.25,4999.0,7.0117598675E8
S104,I834643,Zara Maxi Dress,Apparel,20654.83,4996.0,1.0319153068E8
S104,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S104,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S104,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S104,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S104,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
S104,I431070,Samsung 55” Smart Tv,Home Appliances,144301.53,4991.0,7.2020893623E8
S104,I213219,Dyson Vacuum Cleaner,Home Appliances,80201.7,4991.0,4.002866847E8
S104,I497985,Philips Air Fryer,Home Appliances,138513.8,4991.0,6.913223758E8
S120,I650036,H&m Cotton Shirt,Apparel,140263.25,4999.0,7.0117598675E8
S120,I834643,Zara Maxi Dress,Apparel,20654.83,4996.0,1.0319153068E8
S120,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S120,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S120,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S120,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S120,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
S120,I431070,Samsung 55” Smart Tv,Home Appliances,144301.53,4991.0,7.2020893623E8
S120,I213219,Dyson Vacuum Cleaner,Home Appliances,80201.7,4991.0,4.002866847E8
S120,I497985,Philips Air Fryer,Home Appliances,138513.8,4991.0,6.913223758E8
S143,I650036,H&m Cotton Shirt,Apparel,140263.25,4999.0,7.0117598675E8
S143,I834643,Zara Maxi Dress,Apparel,20654.83,4996.0,1.0319153068E8
S143,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S143,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S143,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S143,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S143,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
S143,I431070,Samsung 55” Smart Tv,Home Appliances,144301.53,4991.0,7.2020893623E8
S143,I213219,Dyson Vacuum Cleaner,Home Appliances,80201.7,4991.0,4.002866847E8
S143,I497985,Philips Air Fryer,Home Appliances,138513.8,4991.0,6.913223758E8
S119,I650036,H&m Cotton Shirt,Apparel,140263.25,4999.0,7.0117598675E8
S119,I834643,Zara Maxi Dress,Apparel,20654.83,4996.0,1.0319153068E8
S119,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S119,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S119,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S119,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S119,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
S119,I431070,Samsung 55” Smart Tv,Home Appliances,144301.53,4991.0,7.2020893623E8
S119,I213219,Dyson Vacuum Cleaner,Home Appliances,80201.7,4991.0,4.002866847E8
S119,I497985,Philips Air Fryer,Home Appliances,138513.8,4991.0,6.913223758E8
S145,I650036,H&m Cotton Shirt,Apparel,140263.25,4999.0,7.0117598675E8
S145,I834643,Zara Maxi Dress,Apparel,20654.83,4996.0,1.0319153068E8
S145,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S145,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S145,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S145,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S145,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
S145,I431070,Samsung 55” Smart Tv,Home Appliances,144301.53,4991.0,7.2020893623E8
S145,I213219,Dyson Vacuum Cleaner,Home Appliances,80201.7,4991.0,4.002866847E8
S145,I497985,Philips Air Fryer,Home Appliances,138513.8,4991.0,6.913223758E8
S136,I650036,H&m Cotton Shirt,Apparel,140263.25,4999.0,7.0117598675E8
S136,I778368,Bajaj Mixer Grinder,Home Appliances,146374.96,4996.0,7.3128930016E8
S136,I887349,Samsung Galaxy S24 Ultra,Electronics,116175.51,4995.0,5.802966724499999E8
S136,I762957,Nike Air Zoom Pegasus,Footwear,40128.69,4995.0,2.0044280655E8
S136,I379194,Allen Solly Formal Pants,Apparel,27576.5,4993.0,1.376894645E8
S136,I1009227,Allen Solly Formal Pants,Apparel,20969.92,4992.0,1.0468184063999999E8
